Facility,Date,Description
Basrah refinery,"Thu, 05 Mar 2026","Basrah refinery shuts after Iraq blackout, restart may take days."
Bapco Energies refinery,"Thu, 05 Mar 2026","Iranian missile strike caused a massive fire to break out at Bahrain's largest oil refinery, but the fire was contained and operations continued."
Ras Tanura refinery,"Thu, 05 Mar 2026",Saudi Arabia reported another drone attack on the refinery.
Northern refinery,"Thu, 05 Mar 2026","Iran struck a northern refinery in Saudi Arabia, prompting the kingdom to weigh its response."
Bahrain Petroleum Company petrol refinery,"Thu, 05 Mar 2026","Iranian missile strike sparked a fireball at the refinery, causing a spike in prices."
Bahrain's state-run oil refinery,"Fri, 06 Mar 2026","An Iranian missile hit the refinery, causing a fire that was later contained. The attack was part of a larger conflict between Iran and other countries in the region."
Haifa refinery,"Sat, 07 Mar 2026","Iran targeted the refinery in a retaliatory strike, as part of the ongoing conflict in the region."
Oil Storage Facility in Tehran,"Sat, 07 Mar 2026","The facility was struck, with reports of huge plumes of smoke seen from the site. The attack was part of a series of strikes by Israel on Iranian oil targets."
Iranian oil depots,"Sat, 07 Mar 2026","US and Israeli strikes hit the depots for the first time since the war began, as part of a broader campaign against Iranian oil facilities."
Aqdasieh Oil Depot,"Sat, 07 Mar 2026","A massive fire and thick smoke rose from the depot after it was reportedly hit by a strike amid the conflict in Tehran, Iran."
Tehran Oil Refinery,"Sat, 07 Mar 2026",The refinery was hit in airstrikes as Iran faced mounting pressure from US and Israeli forces. The attack was part of a series of strikes on Iranian oil facilities.
Oil reserves in and around Tehran,"Sat, 07 Mar 2026","The IDF struck three different oil reserves, with huge plumes of smoke seen from two of the oil sites. The attack was part of a broader campaign against Iranian oil targets."
Oil storage tanks in Tehran,"Sat, 07 Mar 2026","Israel hit the oil storage tanks, as part of a series of strikes on Iranian oil facilities. The attack was reported by Israeli media."
Iran oil facilities,2026-03-07,"Israel Air Force strikes oil facilities in Iran, marking the first time Iran's oil facilities have been hit in the war. The strikes are part of a larger conflict between Iran, the US, and Israel."
Tehran fuel depots,2026-03-07,"Israel strikes fuel depots in Tehran, causing a cloud of toxic smoke to shroud the city. The attack is part of an escalation of the conflict between Iran and Israel."
Haifa refinery,2026-03-07,"Iran targets Haifa refinery in a retaliatory strike, hitting the refinery and causing damage. The attack is a response to Israeli strikes on Iranian oil facilities."
Bahrain refinery,2026-03-07,"A drone hits a refinery in Bahrain, causing damage and disrupting operations. The attack is part of a larger conflict in the region."
Tehran oil sites,2026-03-08,"US and Israeli forces bomb oil storage facilities in Tehran, causing widespread damage and fires. The attack is part of an escalation of the conflict between Iran, the US, and Israel."
Haifa oil refinery,2026-03-08,Iran strikes Haifa oil refinery in response to attacks on Iranian energy infrastructure. The attack causes damage and disrupts operations at the refinery.
Iranian oil depots,2026-03-08,"US and Israeli forces hit Iranian oil depots, causing explosions and fires. The attack is part of a larger conflict between Iran, the US, and Israel."
Tehran oil refinery,2026-03-07,"Tehran oil refinery is hit in airstrikes, causing damage and disrupting operations. The attack is part of a larger conflict between Iran, the US, and Israel."
Iran oil facilities,2026-03-08,Iran oil facilities were hit for the first time as the war with US-Israel entered day 9. The attack was part of a larger conflict between Iran and US-Israel.
Tehran fuel depots,2026-03-08,"Israel struck fuel depots in Tehran, causing a cloud of toxic smoke to shroud the city. The air quality became unbearable due to the smoke."
Haifa refinery,2026-03-08,Iran claimed to have hit the Haifa refinery in Israel after Israel bombed Tehran oil depots. The attack was part of the ongoing conflict between Iran and Israel.
Bahrain refinery,2026-03-09,"Iran set Bahrain's only refinery ablaze, prompting the country to declare force majeure. The attack disrupted oil operations in the region."
Iranian oil facilities,2026-03-08,Israeli strikes on Iranian oil facilities aimed to break the resilience of the Iranian people. The attacks were part of a larger conflict between Iran and Israel.
Bapco refinery,2026-03-09,"Iran struck Bahrain's Bapco refinery, causing significant damage and disrupting oil operations. The refinery was forced to declare force majeure due to the attack."
Tehran oil storage facilities,2026-03-08,"US-Israeli forces bombed oil storage facilities in Tehran, causing a dark haze to engulf the city. The attack was part of the ongoing conflict between Iran and US-Israel."
Israel's largest oil refinery,2026-03-08,"Iran struck Israel's largest oil refinery, causing significant damage and disrupting oil operations. The attack was part of the ongoing conflict between Iran and Israel."
Bahrain Refinery,2026-03-09,"Iran strikes Bahrain's only refinery, setting it ablaze and forcing the country to declare force majeure. The attack has crippled refinery operations and deepened the Gulf energy crisis."
Tehran Oil Facilities,2026-03-09,"Air strikes on Tehran oil facilities have caused black rain and toxic clouds, posing health and environmental risks. The strikes are part of the ongoing conflict between Iran and Israel."
Ruwais Refinery,2026-03-10,A drone attack on the Ruwais refinery in the UAE has halted operations and deepened the Gulf energy crisis. The attack is believed to be part of Iran's efforts to disrupt oil exports in the region.
UAE Refinery,2026-03-10,The largest oil refinery in the UAE has been shut down as a precaution after a drone attack. The closure has contributed to a fuel crisis and prompted a global energy body to call an emergency meeting.
Bapco Oil Refinery,2026-03-09,"Iran has used drones to attack Bahrain's main refinery, Bapco, causing significant damage and forcing the company to declare force majeure. The attack has suspended refinery operations and affected oil shipments."
Tehran oil facilities,2026-03-10,"Air strikes on Tehran oil facilities caused black rain, toxic clouds over Tehran."
Ruwais refinery,2026-03-10,"Drone attack on Ruwais refinery, UAE's largest oil refinery, forced it to shut down as a precaution."
Haifa Refinery,2026-03-10,Iranian drones targeted Haifa Refinery in northern Israel in response to an attack on Iranian oil depots.
Bahrain's only refinery,2026-03-10,"Iran set Bahrain's only refinery ablaze, prompting Bapco to declare force majeure."
Iran's Energy Infrastructure,2026-03-11,"US-Israeli bombing of Iran's energy infrastructure marks a new escalation in the war, causing significant damage and disruption to the country's energy sector."
Oman's oil facilities,2026-03-11,"Iranian drone strike hits Oman's largest oil storage facility, causing damage and disruption to the country's oil industry."
Ruwais Refinery,2026-03-11,"Drone strike shuts down UAE's Ruwais refinery, one of the largest refineries in the world, as Iran war hits Gulf oil production."
Ras Tanura Refinery,2026-03-12,"Ras Tanura Refinery strike and 7 critical signals as Gulf energy risks persist, indicating a potential disruption to the refinery's operations."
Qatari gas site,2026-03-11,"Iran hits Qatar gas site in retaliation for Israeli energy strikes, causing damage and disruption to the country's gas industry."
ADNOC complex,2026-03-11,"ADNOC complex hit amid attacks on Iran, causing damage and disruption to the UAE's oil production."
Haifa Oil Refinery,2026-03-11,"Video claiming to show Iranian missile destroying Haifa Oil Refinery is AI-generated, but indicates a potential threat to the refinery's operations."
Bahrain's oil refinery,2026-03-11,"Missile hits refinery, Bahrain's oil company declares force majeure, indicating a disruption to the country's oil production."
Salalah Port,2026-03-11,"Drones strike oil storage tanks in strategic Omani hub, causing damage and disruption to the port's operations."
Iranian refineries,2026-03-12,"Airstrikes on Iranian refineries trigger toxic 'black rain' over Tehran, causing significant environmental and health concerns."
Iran's Energy Infrastructure,2026-03-12,US-Israeli bombing of Iran's energy infrastructure marks new escalation in war. The attack targeted key energy facilities in Iran.
Middle East's oil fields,2026-03-13,"Iran's military threatens the Middle East's oil fields, potentially disrupting global oil supplies and escalating the conflict."
Saudi oil facility,2026-03-13,"A video claiming to show an attack on a Saudi oil facility was debunked as an old video of a Yemen port blaze, not a recent attack."
U.S.-Linked Energy Sites,2026-03-13,"Iran warns that U.S.-linked energy sites across the region are potential targets, indicating a possible expansion of the conflict."
Israel's oil refinery,2026-03-12,"A fact-check revealed that old, AI-generated videos were shared as the Iranian attack on Israel's oil refinery, which was not a real event."
Energy Infrastructure,2026-03-13,"Iran strongly warns the US against any attack on energy infrastructure, as the conflict continues to escalate."
Oman's oil facilities,2026-03-12,"The Iranian embassy in South Africa labeled a drone strike on Oman's oil facilities as a 'false flag operation', disputing the attribution of the attack."
UAE and Qatar logistics centers,2026-03-12,"Iran destroyed three key logistics centers in the UAE and Qatar in retaliation for Tehran, indicating an expansion of the conflict."
Bahrain,2026-03-12,"Bahrain was rocked by explosions after an Iranian attack, indicating a potential escalation of the conflict in the region."
Iraq Oil Refinery,2026-03-13,"Iran launched a 44th missile wave, and an Iraq oil refinery was hit and burned in a drone strike, indicating ongoing conflict."
UAE's Fujairah,"Sat, 14 Mar 2026 07:00:00 GMT","Drone attack halts some oil loading operations, causing a fire in the area."
Krasnodar oil refinery,"Sat, 14 Mar 2026 07:00:00 GMT","Kyiv pounds oil refinery in Krasnodar, Russia, in response to Russian air strikes in Ukraine."
Lanaz refinery,"Sat, 14 Mar 2026 07:00:00 GMT",Drone strike halts operations at the Lanaz refinery.
Iran's oil export hub,"Fri, 13 Mar 2026 07:00:00 GMT",The U.S. military attacks Iran's oil export hub.
Erbil oil refinery,"Fri, 13 Mar 2026 07:00:00 GMT","Drone attack hits the oil refinery in Erbil, Iraq."
Glencore's Australia refinery,"Fri, 13 Mar 2026 07:00:00 GMT",Workers go on strike at the refinery due to a pay dispute.
BP's Whiting refinery,"Fri, 13 Mar 2026 07:00:00 GMT","Union workers reject the final offer, potentially leading to a strike."
IOCL's Panipat refinery,"Sat, 14 Mar 2026 07:00:00 GMT",Workers return to the refinery after a 5-day strike.
Kharg Island,"Fri, 13 Mar 2026 07:00:00 GMT","The U.S. attacks Iran's Kharg Island, prompting Iranian retaliation."
Russian refinery and port in Krasnodar region,"Sat, 14 Mar 2026 07:00:00 GMT",Ukrainian drones strike the Russian refinery and port in the Krasnodar region.
Iraqi oil refinery,"Sun, 15 Mar 2026 07:00:00 GMT",Drone strike causes fire at Iraqi refinery. Iran denies responsibility for the attack.
Lanaz refinery,"Sun, 15 Mar 2026 07:00:00 GMT",Drone strike halts operations at Lanaz refinery in Iraq's Erbil. Fire breaks out at the refinery.
Fujairah port,"Sat, 14 Mar 2026 07:00:00 GMT",Drone attack on Fujairah port in UAE causes fire and suspension of some oil loading operations.
Kharg Island,"Sat, 14 Mar 2026 07:00:00 GMT",US attacks Iran's Kharg Island. Iran threatens to widen war in response.
Russian oil refinery,"Sat, 14 Mar 2026 07:00:00 GMT",Ukraine confirms drone strike on major southern Russian oil refinery. Russian refinery and port hit by drones.
Ruwais complex,"Sun, 15 Mar 2026 07:00:00 GMT",Abu Dhabi authorities contain fire at Ruwais complex after drone incident.
Krasnodar region oil refinery,"Sat, 14 Mar 2026 07:00:00 GMT",Ukrainian drones strike oil refinery and port in Russia's Krasnodar region.
UAE Gas Field,2026-03-16,A gas field in the UAE was set ablaze after Iran struck the country's energy supplies. The attack has disrupted energy production in the region.
Iraqi oil refinery,2026-03-15,A drone attack caused a fire at an Iraqi oil refinery. Iran has denied responsibility for the attack.
Shah Gas Field,2026-03-16,"A drone strike sparked a fire at the Shah gas field in Abu Dhabi, operated by ADNOC and Occidental. Operations at the field have been suspended."
Lanaz refinery,2026-03-15,A drone strike caused a fire to break out at the Lanaz refinery in Iraq's Erbil. The refinery has halted operations due to the attack.
Kharg Island export hub,2026-03-16,"The US has claimed to have 'totally demolished' Iran's Kharg Island export hub, leading to a rise in oil prices. The attack is part of the ongoing US-Israel war on Iran."
Ras Tanura oil refinery,2026-03-15,Iran has denied attacking the Saudi Arabian Ras Tanura oil refinery. The denial comes amid ongoing tensions between Iran and Saudi Arabia.
Fujairah Port,2026-03-16,"The UAE's Fujairah Port and Shah Gas Field have been attacked, adding to energy disruption in the region. The attacks are part of the ongoing conflict between Iran and the UAE."
Shah gas field,2026-03-16,"A drone strike sparked a fire at the Shah gas field in Abu Dhabi, operated by ADNOC and Occidental, leading to the suspension of operations."
Fujairah port and Shah gas field,2026-03-16,"Attacks on the UAE's Fujairah port and Shah gas field added to energy disruption, with the Shah gas field being set ablaze and operations suspended."
Iranian Oil Depots,2026-03-16,"Netanyahu allegedly ignored Trump's warning not to strike Iranian oil depots, though the exact date and details of the strike are unclear."
World's largest natural gas field,2026-03-17,"Strikes hit the world's largest natural gas field in Iran, prompting Tehran to retaliate with more attacks, escalating the conflict."
Shah gas field,2026-03-17,"The Shah gas field was ablaze after an Iranian drone strike, as the Gulf energy war widened and operations at the field were suspended."
South Pars gas field,"Wed, 18 Mar 2026","Israel attacked Iran's major gas field in a new escalation, and Iran retaliated with more attacks."
Qatar energy facilities,"Wed, 18 Mar 2026",Iran fired missiles at Qatar and Saudi energy facilities in response to the Israeli attack on its gas field.
Ras Laffan gas facility,"Wed, 18 Mar 2026",Qatar reported significant damage at the Ras Laffan gas facility due to an Iranian attack.
Iranian gas and oil sites in South Pars and Asaluyeh,"Wed, 18 Mar 2026","The sites were hit, but the extent of the damage is unknown."
Gulf energy facilities,"Wed, 18 Mar 2026",Iran threatened to strike Gulf energy facilities after the Israeli attack on its gas field.
Major LNG plant,"Wed, 18 Mar 2026","Iran attacked a major LNG plant, causing oil and gas prices to surge."
Haifa oil refinery,"Thu, 19 Mar 2026","Iranian missile attack hit the Haifa oil refinery in Israel, causing some damage. The attack was in retaliation for Israel's strike on Iran's South Pars gas field."
Gulf energy sites,"Thu, 19 Mar 2026",Iran intensified attacks on Gulf energy sites after Israel struck its key gas field. The attacks have sent energy prices soaring and rattled markets.
Bazan oil refinery,"Thu, 19 Mar 2026",The Bazan oil refinery was damaged in an Iranian missile barrage. The attack was part of Iran's retaliation for Israel's strike on its gas field.
Qatar gas hub,"Thu, 19 Mar 2026",Stock markets were rattled and energy prices soared after strikes on the Qatar gas hub. The attacks were part of the escalation between Iran and Israel.
South Pars gas field,"Thu, 19 Mar 2026","Israel struck Iran's key gas field, leading to an escalation of the conflict and potential disruption to global energy supplies. The attack has been described as a new phase of the war."
Qatari LNG facilities,"Fri, 20 Mar 2026","Iran's attacks have wiped out 17% of Qatar's LNG capacity, which could have long-term implications for global energy markets and Qatar's economy."
Kuwaiti oil refinery,"Fri, 20 Mar 2026","Iran hit a Kuwaiti oil refinery as Israel renewed its attacks on Tehran, further escalating the conflict and threatening regional energy security."
Qatar's LNG facility,2026-03-20,Iran attacks wiped out 17% of Qatar's LNG capacity for up to five years. The attack was a result of escalating tensions between Iran and Israel.
Haifa refinery,2026-03-20,Israel's Haifa refinery confirmed damage to 'essential' infrastructure due to Iranian strikes. The refinery reported that most production was still online despite the damage.
Kuwaiti oil refinery,2026-03-20,Iran hit a Kuwaiti oil refinery as Israel renewed attacks on Tehran. The strike was part of the escalating conflict between Iran and Israel.
South Pars gas field,2026-03-20,"Israel struck the South Pars gas field in Iran, causing a spike in energy prices. The field is Iran's largest natural gas field and a crucial part of the country's economy."
Bazan refinery,2026-03-21,An Iranian strike on the Bazan refinery raised concerns among experts. The attack was part of the ongoing conflict between Iran and Israel.
Kuwait refinery,2026-03-20,Iranian drones struck a Kuwait refinery as the war spread to Gulf energy sites. The attack was a result of escalating tensions between Iran and Israel.
South Pars gas field,"Sat, 21 Mar 2026","The South Pars gas field was attacked, and Iranian gas to Iraq resumed after the attack. The field is the world's largest natural gas field and is crucial for Iran's energy production."
Haifa refinery,"Sun, 22 Mar 2026","A strike on the Haifa refinery raised concerns for experts, and Israel faces growing energy risks after the attack."
Bazan refinery,"Sat, 21 Mar 2026","An Iranian strike on the Bazan refinery raised concerns for experts, highlighting the risks of the ongoing conflict."
Offshore gas field,"Sat, 21 Mar 2026","An Israeli strike on an offshore gas field led to Iranian retaliation against Gulf refineries, escalating the conflict."
Kuwait oil refinery,"Sat, 21 Mar 2026","A drone attack caused a fire at a Kuwait oil refinery, highlighting the risks of the ongoing conflict to regional energy infrastructure."
Ras Laffan,"Sat, 21 Mar 2026","Iran's attack on Qatar's Ras Laffan is considered terrible news for the world, as it threatens global energy supplies and stability."
Saudi refinery,"Sat, 21 Mar 2026","A strike on a Saudi refinery sparked fears of multi-region escalation, highlighting the risks of the ongoing conflict to global energy markets."
Arad,"Sun, 22 Mar 2026","Iranian strikes on Israel's Arad caused damage to residential buildings, highlighting the human cost of the conflict."
Haifa oil refineries,"Sun, 22 Mar 2026","Iranian missile shrapnel hit Haifa oil refineries, causing damage and disrupting energy production."
South Pars gas field,2026-03-22,Israeli officials said the US was told about the attack on the South Pars gas field. The field is a significant source of natural gas for Iran.
Haifa refinery,2026-03-22,Israel faces growing energy risks after a strike on the Haifa refinery. Iranian missile shrapnel hit the Haifa oil refineries.
Qatar's gas infrastructure,2026-03-23,The damage to Qatar's gas infrastructure could push costs higher for years to come. The damage was caused by attacks on the infrastructure.
23 oil and gas sites,2026-03-23,23 oil and gas sites have been targeted since the beginning of the Iran conflict. Experts say this is a worst-case scenario.
Bazan oil refinery,2026-03-23,The Bazan oil refinery says all activities will resume in Haifa in the coming days after a missile attack caused damage.
Valero oil refinery,2026-03-23,"A massive blast rocked the Valero oil refinery in Port Arthur, Texas. The cause of the blast is not specified."
Russian oil port,2026-03-23,Ukraine hit a major Russian oil port near Finland. The port is a key location for Russian oil exports.
Bashkortostan oil refinery,2026-03-23,"Ukraine hit the Bashkortostan oil refinery, a key Russian oil refinery. The attack is part of the ongoing conflict between Ukraine and Russia."
Russia's largest oil terminal,2026-03-23,Russia's largest oil terminal was ablaze after a drone attack. The terminal is a critical location for Russian oil exports.
Qatar’s gas infrastructure,"Mon, 23 Mar 2026",The damage to Qatar’s gas infrastructure could push costs higher for years to come.
23 oil and gas sites,"Mon, 23 Mar 2026",23 oil and gas sites have been targeted since the beginning of the Iran conflict.
Valero’s Port Arthur refinery,"Tue, 24 Mar 2026",A massive blast rocked Valero’s Port Arthur refinery amid an Iran blockade of the Strait of Hormuz.
Bazan oil refinery,"Mon, 23 Mar 2026","The Bazan oil refinery in Haifa was damaged in a missile attack, but all activities are set to resume in the coming days."
South Pars gas field,"Tue, 24 Mar 2026",Iran Gas Flow to Turkey stopped after a strike on the South Pars gas field.
Russian oil port and refinery,"Mon, 23 Mar 2026",Ukraine struck a key Russian oil port and refinery.
Kuwaiti refinery,"Mon, 23 Mar 2026","Iran hit a Kuwaiti refinery, and explosions were heard over Tehran from an Israeli attack."
Bashkortostan oil refinery,"Mon, 23 Mar 2026",Ukraine hit Russia's key Baltic Sea oil port and the Bashkortostan oil refinery.
"Valero refinery in Port Arthur, Texas","Tue, 24 Mar 2026","An explosion was reported at the Valero refinery in Port Arthur, Texas, forcing residents to shelter in place."
Russia's largest oil terminal,"Mon, 23 Mar 2026",Russia's largest oil terminal was ablaze after a drone attack.
Valero's Port Arthur refinery,"Tue, 24 Mar 2026","A massive blast rocked the refinery, causing a fire and forcing residents to shelter in place. The cause of the blast is still under investigation."
Gulf energy infrastructure,"Wed, 25 Mar 2026","France confirmed that 30-40 percent of the Gulf energy infrastructure has been destroyed, resulting in a significant oil crisis."
Qatar's gas infrastructure,"Wed, 25 Mar 2026","Damage to Qatar's gas infrastructure could push costs higher for years to come, according to reports."
Russian oil port,"Wed, 25 Mar 2026","Ukraine struck a critical Russian oil port in a major drone attack, halting at least 40% of Russia's oil export capacity."
Iranian energy infrastructure,"Tue, 24 Mar 2026","The US and Israel targeted Iran's energy infrastructure, including a strike on the Isfahan and Khorramshahr regions."
Leningrad Region Oil Refinery,"Thu, 26 Mar 2026",Major oil refinery in Leningrad region reportedly damaged in Ukrainian drone strike.
Israeli power plant,"Wed, 25 Mar 2026","Iran appears to target Israeli power plant in missile attack, but misses."
Gulf refineries,"Wed, 25 Mar 2026","Iran escalates strikes on Gulf refineries, causing oil and gas prices to surge."
Qatar helium facility,"Wed, 25 Mar 2026",Air Liquide to reallocate helium from other regions after Qatar hit.
Kinef refinery,"Thu, 26 Mar 2026",Kinef refinery targeted in latest Baltic energy attack.
Iran Nuclear Plant Site,"Wed, 25 Mar 2026",Russia 'Deeply Outraged' by reported strike on Iran nuclear plant site.
Russian oil export facilities,"Wed, 25 Mar 2026",Ukrainian drone strikes halt at least 40% of Russia’s oil export capacity.
Valero Texas Refinery,"Wed, 25 Mar 2026",Valero has been forced to shut down a Texas refinery after an explosion.
Gulf petro-facilities,"Wed, 25 Mar 2026","Tehran targets Gulf petro-facilities, according to Netanyahu."
Russian Oil Port,"Wed, 25 Mar 2026",Ukraine strikes critical Russian oil port in major drone attack.
Iranian cities,"Wed, 25 Mar 2026",Witnesses report overnight strikes in several Iranian cities.
Caspian Port,"Wed, 25 Mar 2026",Israel hits Iran’s Caspian port used for Russia arms transfers in first-ever strike.
Leningrad Region Refinery,2026-03-26,A Ukrainian drone strike reportedly damaged a major oil refinery in the Leningrad region of Russia.
Russian oil refinery,2026-03-27,"Ukraine struck a Russian oil refinery, crippling the facility and impacting Russian oil revenue."
Bazan Refinery,2025,"Iran's 2025 strike on the Bazan refinery caused damage, but the facility has since returned to full capacity despite new missile damage."
Kinef refinery,2026-03-26,The Kinef refinery was targeted in the latest Baltic energy attack.
Russia's second-largest refinery,2026-03-27,"Drones struck Russia's second-largest refinery near St. Petersburg, disrupting oil exports by 40%."
Kirishi refinery,2026-03-26,Ukraine confirmed a strike on the Kirishi refinery in the Leningrad region.
Facility near Manama,2026-03-26,A fire hit a facility near Manama after an Iranian attack on Bahrain.
South Pars and Ras Laffan,2026-03-27,The South Pars and Ras Laffan strikes pose a global energy risk.
Kuwait refinery,2026-03-28,"Iran hits Kuwait refinery as war rages on, according to MSN."
Aramco refinery,2026-03-28,"Drones hit Saudi's Aramco refinery, as reported by Bhaskar English."
Bapco refinery,2026-03-28,"Fire at Bapco refinery in Bahrain, with sirens sounded, as reported by jordannews.jo."
Refinery Complex in Bahrain,2026-03-28,"Massive blaze at refinery complex, US Fifth Fleet Headquarters in Bahrain after strikes, as reported by News18."
Yaroslavl oil refinery,2026-03-28,"Ukraine drones strike Yaroslavl oil refinery, as reported by MSN and The Kyiv Independent."
Russian oil industry,2026-03-27,"Ukraine steps up attacks on Russian oil industry, as reported by CNN."
Russian oil revenue,2026-03-27,"Ukraine fends off increased attacks, strikes Russian oil revenue, according to Al Jazeera."
Baltic hubs,2026-03-27,"Putin's oil hit again as Ukraine strikes Baltic hubs, as reported by TVP World."
Iranian energy sites,2026-03-27,"US strikes on Iran energy sites spark crisis fears, according to Brussels Morning."
Haifa Refinery,2026-03-27,"Video does not show fire at Haifa Refinery after alleged Iranian missile strike, as reported by موقع مسبار."
UAE refinery,2026-03-28,"Third fire breaks out in UAE after Iran missile attack, as reported by Al Arabiya English."
Russian refinery,2026-03-28,"Russia economy meltdown for Putin as refinery goes up in flames, according to Daily Express."
Ras Tanura refinery,2026-03-29,"Iran hit Saudi's Aramco's Ras Tanura refinery, causing damage to the facility."
Emirates Global Aluminium,2026-03-29,"Emirates Global Aluminium reported 'significant damage' from Iranian strikes, affecting the aluminium production."
Beersheba refinery,2026-03-29,"A massive fire broke out at the Beersheba refinery, with chemical storage facilities damaged and a risk of leakage."
Kuwait International Airport,2026-03-28,"An alleged Iranian drone attack on Kuwait International Airport caused a large fire, with oil tankers ablaze."
Bahrain's Alba,2026-03-29,"Iran strikes aluminium plants in Bahrain's Alba, with the facility assessing damage."
US Fifth Fleet Headquarters in Bahrain,2026-03-28,"A massive blaze broke out at the US Fifth Fleet Headquarters in Bahrain after strikes, with a key industrial site targeted."
Haifa oil refinery,"Mon, 30 Mar 2026",A fire broke out at the Haifa oil refinery in northern Israel after a missile barrage from Iran and Lebanon. The fire was later contained.
Israeli oil refinery,"Sun, 29 Mar 2026","Iran launched a missile attack on a refinery in Israel's largest industrial zone in Beersheba, causing damage and disruption."
Tabriz petrochemical facility,"Mon, 30 Mar 2026","Iran's Tabriz petrochemical facility was hit in an attack, with a fire breaking out that was later contained, according to the company."
Ras Tanura refinery,"Sun, 29 Mar 2026","Iran hit Saudi's Aramco's Ras Tanura refinery, targeting the country's oil infrastructure."
Emirates Global Aluminium,"Sun, 29 Mar 2026","Emirates Global Aluminium reported significant damage from Iranian strikes, although the extent of the damage is not specified."
Mehrabad Airport and petrochemical facility in Tabriz,"Mon, 30 Mar 2026","US-Israeli strikes hit Tehran's Mehrabad Airport and a petrochemical facility in Tabriz, Iran, as the conflict escalates."
